direction,model,train_videos,test_videos,mae,r2,spearman
yugsa_to_kfn,metadata,194,2312,1.2954232887082693,-0.3061048520068892,-0.3448212548550537
yugsa_to_kfn,metadata_roi,194,2312,1.2491804994601543,-0.1829184458805284,0.0739003188888808
kfn_to_yugsa,metadata,2312,194,1.2797906879466245,-0.7550323136731518,-0.3326063285573995
kfn_to_yugsa,metadata_roi,2312,194,1.5139933891021145,-1.348357720057062,-0.08251942491566443
