feature,definition,source
raw six ROI profiles,Unweighted mean of predicted cortical response over persisted TRIBE segments,verified cortical predictions and proxy masks
weighted six ROI profiles,Duration-weighted mean over persisted segments,verified segment intervals
ROI variability,"Temporal standard deviation, interquartile range, adjacent absolute change and lag-one correlation",segment-level ROI time course
pattern_change,"One minus the correlation between adjacent centered whole-cortex vectors; in the primary windows these are adjacent overlap-weighted five-second cortical vectors, with undefined first or constant-vector comparisons omitted",persisted cortical arrays and overlap-weighted analysis windows
parcel_*,Time-mean predicted response within one Destrieux cortical parcel,local fsaverage5 surface atlas
retention outcomes,Owner Analytics audience-retention or view outcomes aligned to the same video,private hashed API response
context distribution,"Top category share, category count, and normalized entropy for owner-Analytics context dimensions",private hashed API response
retention report summary,"Coverage and descriptive curve summaries for 7-day, 30-day, subscriber, non-subscriber, and organic reports",private hashed API response
